STATE/UT,Year,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
ANDHRA PRADESH,2001,Road Accidents,2204,2437,2405,2351,2550,2284,2025,2077,2070,2276,2122,2387,27188
ANDHRA PRADESH,2001,Rail-Road Accidents,47,40,52,50,51,48,55,54,55,72,62,37,623
ANDHRA PRADESH,2001,Other Railway Accidents,43,48,61,71,51,65,59,61,54,62,41,58,674
ANDHRA PRADESH,2001,Total,2294,2525,2518,2472,2652,2397,2139,2192,2179,2410,2225,2482,28485
ANDHRA PRADESH,2002,Road Accidents,2492,2453,2835,2786,3195,2880,2645,2607,2555,2624,2646,2859,32577
ANDHRA PRADESH,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,1,3,0,0,4
ANDHRA PRADESH,2002,Other Railway Accidents,104,97,115,138,112,106,95,93,101,79,87,58,1185
ANDHRA PRADESH,2002,Total,2596,2550,2950,2924,3307,2986,2740,2700,2657,2706,2733,2917,33766
ANDHRA PRADESH,2003,Road Accidents,2783,2569,2870,2635,3265,2924,2657,2934,2767,2881,3037,3215,34537
ANDHRA PRADESH,2003,Rail-Road Accidents,25,18,26,13,32,18,44,36,16,28,19,16,291
ANDHRA PRADESH,2003,Other Railway Accidents,53,49,32,40,43,45,47,38,41,37,32,33,490
ANDHRA PRADESH,2003,Total,2861,2636,2928,2688,3340,2987,2748,3008,2824,2946,3088,3264,35318
ANDHRA PRADESH,2004,Road Accidents,3019,3131,3211,3100,3257,2942,2827,3079,2972,3041,3129,3370,37078
ANDHRA PRADESH,2004,Rail-Road Accidents,11,9,10,9,8,10,9,11,12,12,8,10,119
ANDHRA PRADESH,2004,Other Railway Accidents,44,88,80,90,80,80,84,92,102,84,88,80,992
ANDHRA PRADESH,2004,Total,3074,3228,3301,3199,3345,3032,2920,3182,3086,3137,3225,3460,38189
ANDHRA PRADESH,2005,Road Accidents,3189,3193,3182,3056,3612,3247,2907,3028,2742,2928,2975,3230,37289
ANDHRA PRADESH,2005,Rail-Road Accidents,0,0,1,1,0,1,1,1,0,0,0,1,6
ANDHRA PRADESH,2005,Other Railway Accidents,76,122,133,119,115,137,120,122,121,107,112,106,1390
ANDHRA PRADESH,2005,Total,3265,3315,3316,3176,3727,3385,3028,3151,2863,3035,3087,3337,38685
ANDHRA PRADESH,2006,Road Accidents,3568,3224,3496,3634,3962,3400,3334,3311,3232,3306,3268,3588,41323
ANDHRA PRADESH,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,Other Railway Accidents,150,174,170,164,177,176,166,147,160,158,166,150,1958
ANDHRA PRADESH,2006,Total,3718,3398,3666,3798,4139,3576,3500,3458,3392,3464,3434,3738,43281
ANDHRA PRADESH,2007,Road Accidents,3978,3530,3728,3842,4099,3594,3519,3348,3246,3447,3617,3646,43594
ANDHRA PRADESH,2007,Rail-Road Accidents,0,0,0,1,0,0,1,1,0,0,0,0,3
ANDHRA PRADESH,2007,Other Railway Accidents,168,164,175,176,175,180,181,161,178,184,174,158,2074
ANDHRA PRADESH,2007,Total,4146,3694,3903,4019,4274,3774,3701,3510,3424,3631,3791,3804,45671
ANDHRA PRADESH,2008,Road Accidents,3594,3468,3848,3967,3811,3391,3260,3324,3169,3352,3319,3603,42106
ANDHRA PRADESH,2008,Rail-Road Accidents,1,0,2,0,1,1,1,1,1,1,0,2,11
ANDHRA PRADESH,2008,Other Railway Accidents,109,126,143,126,154,215,165,228,157,181,174,167,1945
ANDHRA PRADESH,2008,Total,3704,3594,3993,4093,3966,3607,3426,3553,3327,3534,3493,3772,44062
ANDHRA PRADESH,2009,Road Accidents,3682,3494,3775,3450,4048,3763,3412,3488,3017,3253,3298,3331,42011
ANDHRA PRADESH,2009,Rail-Road Accidents,0,0,0,0,1,2,1,0,0,0,0,0,4
ANDHRA PRADESH,2009,Other Railway Accidents,110,92,113,132,131,112,121,142,110,121,110,108,1402
ANDHRA PRADESH,2009,Total,3792,3586,3888,3582,4180,3877,3534,3630,3127,3374,3408,3439,43417
ANDHRA PRADESH,2010,Road Accidents,3515,3434,3749,3857,3960,3765,3206,3416,3115,3439,3397,3575,42428
ANDHRA PRADESH,2010,Rail-Road Accidents,54,51,52,60,63,62,62,63,62,65,54,42,690
ANDHRA PRADESH,2010,Other Railway Accidents,76,66,63,81,68,82,71,62,89,79,69,67,873
ANDHRA PRADESH,2010,Total,3645,3551,3864,3998,4091,3909,3339,3541,3266,3583,3520,3684,43991
ANDHRA PRADESH,2011,Road Accidents,3540,3195,3584,3396,3916,3793,3237,3106,3067,3398,3442,3392,41066
ANDHRA PRADESH,2011,Rail-Road Accidents,46,51,58,62,69,45,62,52,58,61,48,63,675
ANDHRA PRADESH,2011,Other Railway Accidents,105,105,104,115,141,141,98,114,114,108,121,96,1362
